"auth.name","2014","2015","2016","2017","2018","change","change.4","prop.income"
"Tameside",1131,0,1336.91228,595,781,31.2605042016807,-8.84151323965704,36.3932898415657
"Waveney",924,898,951,943,768,-18.5577942735949,-4.51782304130767,33.3188720173536
"North Lincolnshire",777,774,764,729.28814,755.9638,3.6577668738724,-0.683822692149993,99.3311445362002
"Tendring",636,590,667,626,750,19.8083067092652,4.20799426664316,85.2272727272727
"Surrey Heath",777,0,752,681,737,8.22320117474302,-1.31262045516001,103.366058906031
"North Tyneside",359,445,576,769,736,-4.29128738621587,19.6591301451249,23.6808236808237
"Thurrock",1260,605,720,689,724,5.0798258345428,-12.9353205756309,68.4310018903592
"Hart",851,734,723,766,721,-5.87467362924282,-4.05962179494161,67.0697674418605
"East Hampshire",597,579,820,889.52767,716,-19.5078439774673,4.64890123184727,35.0980392156863
"Newark & Sherwood",712,691,704,720,713,-0.972222222222214,0.0350938815202761,52.5036818851252
"Epping Forest",706,738,834,787,710,-9.78398983481576,0.141343108900327,48.2336956521739
"West Devon",567,592,579,767,702,-8.47457627118644,5.48446712802666,61.9593998234775
"South Kesteven",654,677,635,702,694,-1.13960113960114,1.49518290082928,54.3461237274863
"Herefordshire",1519,695,1460,656,685,4.42073170731707,-18.0529735251688,12.808526551982
"Knowsley",435,519,621,623,681,9.30979133226325,11.8573338889266,82.4455205811138
"Bassetlaw",700,740,750,675,676,0.148148148148138,-0.868389006130299,61.2873980054397
"Telford and Wrekin",504,545,611,518,650,25.4826254826255,6.56650066736473,88.0758807588076
"Bromsgrove",637,783,582,581,647,11.3597246127367,0.39017518239346,52.0096463022508
"Torridge",527,584,568,570,638,11.9298245614035,4.89445138642473,49.0392006149116
"Burnley",591,632,614,600,619,3.16666666666667,1.1639532083233,67.2826086956522
"Charnwood",567,608,577,608,619,1.80921052631579,2.21788661181375,65.7112526539278
"Havant",973,930,1137.36768,621,619,-0.322061191626403,-10.6911592436941,31.6300459887583
"Kettering",481,533,535,579,618,6.73575129533678,6.46597843783074,80.5736636245111
"Preston",692,747,691,575,615,6.95652173913044,-2.90603081624511,59.4777562862669
